,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2017-06-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,
filing_date,2023-11-02,2023-08-04,2023-04-28,2023-02-24,2022-11-03,2022-08-04,2022-04-29,2022-02-24,2021-11-04,2021-08-05,2021-04-30,2021-02-25,2020-10-29,2020-07-31,2020-04-29,2020-02-27,2019-10-31,2019-08-02,2019-05-03,2019-02-28,2018-11-14,2018-06-30,2018-03-31,2017-12-31,2017-09-30,,,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,
propertyPlantEquipment,1290500000.00,1233200000.00,1209700000.00,1199600000.00,1171400000.00,1178300000.00,1196400000.00,1201900000.00,1273000000.00,1206700000.00,905200000.00,913300000.00,894800000.00,907200000.00,907600000.00,831800000.00,833000000.00,832700000.00,821500000.00,803000000.00,570500000.00,582600000.00,588100000.00,583100000.00,,,538800000.00,
totalCurrentAssets,951500000.00,975100000.00,912900000.00,856800000.00,922800000.00,871300000.00,841600000.00,767900000.00,810900000.00,784000000.00,697800000.00,664900000.00,740600000.00,705900000.00,772000000.00,757200000.00,674400000.00,622900000.00,617800000.00,667000000.00,449800000.00,421500000.00,372800000.00,428800000.00,,,419900000.00,
longTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netTangibleAssets,,1058700000.00,1015800000.00,969800000.00,811300000.00,778300000.00,823100000.00,798100000.00,785800000.00,887000000.00,908300000.00,885300000.00,942400000.00,945100000.00,1063300000.00,1168500000.00,1139000000.00,1102900000.00,1088900000.00,1069300000.00,899100000.00,890700000.00,868200000.00,913600000.00,,872500000.00,872500000.00,
shortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netReceivables,389600000.00,386500000.00,393600000.00,334200000.00,326100000.00,350100000.00,373700000.00,310800000.00,364200000.00,314300000.00,289100000.00,260200000.00,232900000.00,217700000.00,238100000.00,200000000.00,213400000.00,228700000.00,206200000.00,291400000.00,174700000.00,168300000.00,153600000.00,165300000.00,,,132900000.00,
longTermDebt,503400000.00,530500000.00,535000000.00,535900000.00,696600000.00,699400000.00,666400000.00,664700000.00,743800000.00,645100000.00,250100000.00,248200000.00,250400000.00,250000000.00,350000000.00,100000000.00,100000000.00,100000000.00,100000000.00,181200000.00,300000.00,300000.00,400000.00,400000.00,,,,
inventory,361200000.00,354600000.00,328300000.00,315800000.00,328800000.00,295900000.00,342800000.00,324500000.00,344500000.00,339100000.00,289300000.00,276800000.00,289900000.00,314000000.00,303400000.00,283300000.00,306100000.00,291000000.00,271500000.00,252500000.00,234700000.00,232700000.00,204200000.00,246800000.00,,,263700000.00,
accountsPayable,244800000.00,238700000.00,205800000.00,190700000.00,221600000.00,220200000.00,228700000.00,184700000.00,213300000.00,201300000.00,175700000.00,144100000.00,137100000.00,108300000.00,113200000.00,90000000.00,82600000.00,73000000.00,79300000.00,86200000.00,60900000.00,71500000.00,55700000.00,56000000.00,,,48900000.00,
totalPermanentEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
