,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31
filing_date,2023-11-03,2023-08-02,2023-05-02,2023-02-15,2022-11-02,2022-07-29,2022-05-03,2022-02-15,2021-11-03,2021-07-30,2021-05-04,2021-02-18,2020-10-29,2020-08-06,2020-05-08,2020-02-20,2019-11-08,2019-07-26,2019-05-01,2019-02-21,2018-10-30,2018-07-26,2018-05-01,2018-03-01,2017-11-01,2017-08-03,2017-05-02,2017-03-07,2016-11-03,2016-08-04,2016-05-05,2016-03-01,2015-11-05,2015-07-30,2015-05-07,2015-03-05,2014-11-10,2014-08-06,2014-05-07,2014-03-17,2013-11-13,2013-08-07,2013-04-01,2013-04-01,2012-11-07,2012-08-14,2012-06-01,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
warrants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preferredStockRedeemable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capitalSurpluse,,810161000.00,813748000.00,812788000.00,812050000.00,811411000.00,707579000.00,703950000.00,701370000.00,700994000.00,598936000.00,497803000.00,497421000.00,497054000.00,496689000.00,423619000.00,423137000.00,422658000.00,422231000.00,421739000.00,421415000.00,421086000.00,420871000.00,420637000.00,420428000.00,420251000.00,420154000.00,420056000.00,419946000.00,420013000.00,420983000.00,421179000.00,421006000.00,420758000.00,420543000.00,420344000.00,420182000.00,419930000.00,419669000.00,419405000.00,419251000.00,404005000.00,169336000.00,169200000.00,169210000.00,169075000.00,29985000.00,
liabilitiesAndStockholdersEquity,2363176000.00,2400011000.00,2444320000.00,2523002000.00,2727186000.00,2696334000.00,2515805000.00,2631838000.00,2466685000.00,2256835000.00,2090803000.00,1929497000.00,1949058000.00,2021233000.00,2101355000.00,1784134000.00,1674697000.00,1671447000.00,1618440000.00,1603324000.00,1731512000.00,1817516000.00,1744155000.00,1770219000.00,1587468000.00,1662570000.00,1429000000.00,1373703000.00,1565139000.00,1332071000.00,1422115000.00,1378982000.00,1502186000.00,1544838000.00,1589781000.00,1867653000.00,1402478000.00,1421588000.00,1257861000.00,1176915000.00,839806000.00,581059000.00,387859000.00,387859000.00,220253000.00,171259000.00,84901000.00,
cashAndShortTermInvestments,89153000.00,170573000.00,181771000.00,2405286000.00,105027000.00,25625000.00,13759000.00,50615000.00,15787000.00,75671000.00,97944000.00,74776000.00,81295000.00,72987000.00,74498000.00,5256000.00,5952000.00,5215000.00,12814000.00,11089000.00,5034000.00,5045000.00,5201000.00,28343000.00,28245000.00,5723000.00,44400000.00,47270000.00,41768000.00,5309000.00,6164000.00,8995000.00,10399000.00,8105000.00,9005000.00,16551000.00,11448000.00,20152000.00,30402000.00,20100000.00,12553000.00,40235000.00,23390000.00,26600000.00,214522000.00,165628000.00,4586000.00,
propertyPlantAndEquipmentGross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propertyPlantAndEquipmentNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accumulatedDepreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netWorkingCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netInvestedCapital,2326556000.00,1680138000.00,1707898000.00,1778875000.00,2670009000.00,2641490000.00,2464800000.00,2601826000.00,2415585000.00,2206249000.00,2044437000.00,1799941000.00,1681284000.00,1120533000.00,1804935000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commonStockSharesOutstanding,54796413.00,54347204.00,54591650.00,54894888.00,54846756.00,50999505.00,47654549.00,47312873.00,47209469.00,41294597.00,34720950.00,33196508.00,33550444.00,33539580.00,31897952.00,28872975.00,28867603.00,28863765.00,28780980.00,28709145.00,28698600.00,28618308.00,28598916.00,28590179.00,28582690.00,28546624.00,28482756.00,28482756.00,28513137.00,28495833.00,28602054.00,28597568.00,28609650.00,28585780.00,28584784.00,28585022.00,28604798.00,28590689.00,28550982.00,19038152.00,28027719.00,10257250.00,6567309.00,9212644.00,9205480.00,6576923.00,9235135.00,
investments,-47689000.00,19244000.00,70058000.00,257127000.00,12246000.00,-165880000.00,51453000.00,-124606000.00,-267126000.00,-176599000.00,-131354000.00,23396000.00,87772000.00,80916000.00,-273951000.00,-106614000.00,-536000.00,-58291000.00,-8985000.00,139282000.00,86283000.00,-71354000.00,3713000.00,-255237000.00,100427000.00,-268171000.00,-56687000.00,199136000.00,-366032000.00,93473000.00,-59524000.00,61594000.00,10067000.00,-47166000.00,159823000.00,-238879000.00,-9247000.00,-115397000.00,-146664000.00,-265658000.00,-165745000.00,-115522000.00,-55704000.00,-162732000.00,-112333000.00,39000.00,-73129000.00,
changeToLiabilities,,1025000.00,-24000.00,1391000.00,1653000.00,1399000.00,-1857000.00,993000.00,357000.00,1702000.00,-854000.00,2094000.00,-845000.00,-1066000.00,-345000.00,-279000.00,176000.00,901000.00,-1005000.00,196000.00,-252000.00,291000.00,316000.00,435000.00,483000.00,142000.00,-65000.00,-242000.00,4342000.00,3193000.00,-5446000.00,1213000.00,3626000.00,-2947000.00,1851000.00,-664000.00,971000.00,-2358000.00,599000.00,-2653000.00,3870000.00,835000.00,1272000.00,1303000.00,636000.00,1033000.00,-255000.00,
totalCashflowsFromInvestingActivities,,19244000.00,70058000.00,257127000.00,12246000.00,-165880000.00,89680000.00,-124606000.00,-267126000.00,-176599000.00,-131354000.00,23396000.00,87772000.00,80916000.00,-273951000.00,-106614000.00,-536000.00,-58291000.00,-8985000.00,139282000.00,86283000.00,-71354000.00,3713000.00,-181337000.00,100427000.00,-268171000.00,-56687000.00,199136000.00,-276053000.00,93460000.00,-59863000.00,61080000.00,84664000.00,-47172000.00,159767000.00,-239486000.00,-11486000.00,-115589000.00,-66519000.00,-350458000.00,-223013000.00,-116522000.00,-55704000.00,-162732000.00,-112271000.00,-903000.00,-72249000.00,
netBorrowings,,-18359000.00,-49481000.00,-189040000.00,45837000.00,78190000.00,-128951000.00,146065000.00,214139000.00,58112000.00,62827000.00,-26497000.00,-75666000.00,-76222000.00,272530000.00,102828000.00,2506000.00,52130000.00,16248000.00,-136758000.00,-88212000.00,71168000.00,-28506000.00,-98600000.00,-79509000.00,233231000.00,68720000.00,-161782000.00,310144000.00,-94672000.00,23410000.00,-28362000.00,-86130000.00,46149000.00,-236165000.00,208221000.00,-297337000.00,114296000.00,76262000.00,-36239000.00,191850000.00,-107270000.00,55955000.00,161485000.00,48337000.00,-48330000.00,46693000.00,
totalCashFromFinancingActivities,-47443000.00,-42305000.00,-68828000.00,-208236000.00,26511000.00,164809000.00,-142751000.00,141364000.00,196743000.00,144469000.00,144598000.00,-38933000.00,-88045000.00,-88702000.00,334926000.00,98342000.00,-7268000.00,41146000.00,3921000.00,-144157000.00,-96457000.00,62768000.00,-36550000.00,174055000.00,-88757000.00,222657000.00,47614000.00,-201987000.00,344745000.00,-108925000.00,39224000.00,-133427000.00,-63955000.00,-51165000.00,-292867000.00,454403000.00,-26440000.00,155347000.00,69135000.00,337847000.00,192065000.00,133413000.00,160498000.00,160498000.00,47782000.00,84257000.00,75816000.00,
changeToOperatingActivities,,,,,-6248000.00,-4487000.00,-4487000.00,-824000.00,-7025000.00,-4967000.00,-3531000.00,-3948000.00,-5458000.00,-4412000.00,-1688000.00,-2409000.00,-1026000.00,-508000.00,-2699000.00,591000.00,654000.00,-1006000.00,510000.00,-1539000.00,197000.00,-977000.00,-587000.00,43278000.00,86000.00,1648000.00,,62739000.00,,,,-56155000.00,,,,,,,,,,,,
