,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
filing_date,2023-11-14,2023-08-10,2023-05-12,2023-03-16,2022-11-14,2022-08-05,2022-05-05,2022-03-17,2021-11-08,2021-08-06,2021-05-07,2021-03-24,2020-11-12,2020-08-07,2020-05-12,2020-03-16,2019-11-12,2019-08-09,2019-05-09,2019-03-08,2018-11-07,2018-08-08,2018-05-09,2018-03-09,2017-11-07,2017-08-04,2017-05-03,2017-03-14,2016-11-04,2016-08-05,2016-05-13,2016-03-24,2015-12-16,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
noncontrollingInterestInConsolidatedEntity,,,,,,-1437000.00,-1851000.00,-1756000.00,-797000.00,-441000.00,2451000.00,2451000.00,2072000.00,903000.00,951000.00,1003000.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2998000.00,2353000.00,0.00,,,,,,,
temporaryEquityRedeemableNoncontrollingInterests,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
accumulatedOtherComprehensiveIncome,,,,,,,,,,,,,,,,905000.00,,0.00,0.00,0.00,0.01,477.97,7000000.00,6712000.00,15518000.00,13832000.00,11886000.00,1317000.00,-7633000.00,1703000.00,12933000.00,-1954000.00,4767000.00,9372000.00,9316000.00,9178000.00,,,,
additionalPaidInCapital,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.99,34831.57,1007471000.00,1010505000.00,1009852000.00,1007990000.00,1007471000.00,0.00,1006502000.00,1005150000.00,0.00,0.00,0.00,,,,,,,
commonStockTotalEquity,,,,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,19000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,25000.00,0.00,,,,,,,
preferredStockTotalEquity,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
retainedEarningsTotalEquity,,,,15126000.00,3661000.00,20159000.00,52249000.00,68435000.00,61212000.00,59709000.00,32204000.00,13649000.00,-35241000.00,-41056000.00,-74056000.00,-701000.00,-11723000.00,-17674000.00,-16742000.00,-39889000.00,426000.00,7805000.00,-1717000.00,13800000.00,364000.00,-1155000.00,-5751000.00,7327000.00,6102000.00,2150000.00,1131000.00,2072000.00,0.00,,,,,,,
treasuryStock,,,,-124002000.00,-123478000.00,-123037000.00,-121720000.00,-121427000.00,-121270000.00,-119874000.00,-117981000.00,-113783000.00,-111736000.00,-110635000.00,-109567000.00,-106342000.00,-105570000.00,-104228000.00,-102598000.00,-102207000.00,-87203000.00,-86471000.00,-81091000.00,-62895000.00,-57551000.00,-53772000.00,-41800000.00,-41674000.00,-6927000.00,-4044000.00,-2464000.00,-44000.00,0.00,,,,,,,
accumulatedAmortization,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
nonCurrrentAssetsOther,18364000.00,18102000.00,20432000.00,18699000.00,18628000.00,13010000.00,19505000.00,25201000.00,22879000.00,21407000.00,20732000.00,28901000.00,21043000.00,21704000.00,21704000.00,10617000.00,8395000.00,10838000.00,4510000.00,4568000.00,4037000.00,2224000.00,3675000.00,481000.00,4667000.00,11730000.00,2214000.00,298000.00,3368000.00,3947000.00,3811000.00,654000.00,4136000.00,2186000.00,2523000.00,19178000.00,,,,
deferredLongTermAssetCharges,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
nonCurrentAssetsTotal,503394000.00,513293000.00,519802000.00,494511000.00,532067000.00,543569000.00,576898000.00,587296000.00,588824000.00,640045000.00,607618000.00,575593000.00,519044000.00,510554000.00,525310000.00,615657000.00,616464000.00,616548000.00,562154000.00,495393000.00,651968000.00,701146000.00,648875000.00,648045000.00,716857000.00,590827000.00,595088000.00,607560000.00,492752000.00,578467000.00,580500000.00,561259000.00,313026000.00,347271000.00,354382000.00,390210000.00,,,,
capitalLeaseObligations,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
longTermDebtTotal,,0.00,0.00,0.00,0.00,908000.00,2145000.00,5280000.00,5590000.00,7508000.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
nonCurrentLiabilitiesOther,5090000.00,3927000.00,3569000.00,2874000.00,3181000.00,9694000.00,11937000.00,12905000.00,19728000.00,16466000.00,22827000.00,17571000.00,18952000.00,9833000.00,17422000.00,16419000.00,25475000.00,46010000.00,17118000.00,13151000.00,23180000.00,15017000.00,5211000.00,11215000.00,13405000.00,12600000.00,12025000.00,16962000.00,6229000.00,,22792000.00,16421000.00,,,,,,,,
