,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
filing_date,2023-11-02,2023-08-08,2023-05-02,2023-02-28,2022-11-03,2022-08-04,2022-05-06,2022-03-01,2021-11-09,2021-08-04,2021-05-05,2021-02-25,2020-11-05,2020-08-05,2020-05-07,2020-03-10,2019-11-12,2019-08-06,2019-05-07,2019-03-11,2018-11-08,2018-08-09,2018-05-09,2018-03-15,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,,,,,,,,,,,,,,,,,,,,
commonStockSharesOutstanding,912000000.00,971604000.00,909000000.00,977000000.00,905000000.00,965554000.00,966000000.00,842000000.00,821559000.00,820667000.00,817449000.00,816000000.00,777553000.00,760597000.00,759092000.00,743000000.00,739852000.00,749575000.00,756252000.00,757000000.00,755277000.00,750009000.00,728579000.00,748949378.00,694632000.00,694632000.00,694632000.00,694632000.00,
investments,-333000000.00,-319000000.00,-336000000.00,-324000000.00,-401350000.00,-402317000.00,-405123000.00,-525096000.00,,,,,,,,,,,,,,,,,,,,,
changeToLiabilities,,8662000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalCashflowsFromInvestingActivities,-988081000.00,-318660000.00,-336040000.00,-1533000000.00,-1208790000.00,-807440000.00,-405123000.00,-1695745000.00,-1170649000.00,,,,,,,,,,,,,,,,,,,,
netBorrowings,,-215857000.00,-7444000.00,,,,,,,,,,,,,,,,,,,,,,,,,,
totalCashFromFinancingActivities,-18000000.00,-217000000.00,-41000000.00,71000000.00,-93000000.00,-84772000.00,92000000.00,-4367000.00,-64341000.00,-19055000.00,-40685000.00,-319417000.00,345183000.00,-253638000.00,157611000.00,-704284000.00,5719000.00,-135271000.00,-380164000.00,380484000.00,-892893000.00,-42510000.00,747920000.00,-13483000.00,-22359000.00,-203825000.00,96598000.00,-495000.00,
changeToOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changeInCash,95000000.00,-43000000.00,-70000000.00,314000000.00,4000000.00,27475000.00,-5000000.00,-35093000.00,-88135000.00,29221000.00,-80463000.00,-283139000.00,444744000.00,-71999000.00,69405000.00,-111595000.00,116543000.00,-52806000.00,-270304000.00,106360000.00,-837369000.00,86093000.00,885296000.00,-47758000.00,92735000.00,-213349000.00,200378000.00,-87136000.00,
beginPeriodCashFlow,261000000.00,304000000.00,374000000.00,60000000.00,56000000.00,28071000.00,33000000.00,68370000.00,156505000.00,127284000.00,207747000.00,490886000.00,46142000.00,118141000.00,48736000.00,160595000.00,44052000.00,96858000.00,367162000.00,260802000.00,1098171000.00,1012078000.00,126782000.00,170657000.00,77922000.00,291271000.00,90893000.00,163027000.00,
endPeriodCashFlow,356000000.00,261000000.00,304000000.00,374000000.00,60000000.00,55546000.00,28000000.00,33277000.00,68370000.00,156505000.00,127284000.00,207747000.00,490886000.00,46142000.00,118141000.00,49000000.00,160595000.00,44052000.00,96858000.00,367162000.00,260802000.00,1098171000.00,1012078000.00,122899000.00,170657000.00,77922000.00,291271000.00,75891000.00,
totalCashFromOperatingActivities,446000000.00,493000000.00,307000000.00,567000000.00,498000000.00,514564000.00,308000000.00,494370000.00,369693000.00,426326000.00,359334000.00,373480000.00,364262000.00,378778000.00,250229000.00,413751000.00,480077000.00,469910000.00,509262000.00,381643000.00,443202000.00,458188000.00,504574000.00,329590000.00,518928000.00,331406000.00,412006000.00,235710000.00,
issuanceOfCapitalStock,,,,1180000000.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,
depreciation,330000000.00,346000000.00,383000000.00,412000000.00,406000000.00,399416000.00,476000000.00,490689000.00,480010000.00,474271000.00,469809000.00,473528000.00,473346000.00,477869000.00,489024000.00,486426000.00,505832000.00,500864000.00,495878000.00,484161000.00,474772000.00,488320000.00,483676000.00,476054000.00,467929000.00,458387000.00,460929000.00,427578000.00,
otherCashflowsFromInvestingActivities,8848000.00,-288528000.00,-276825000.00,1000000.00,-31000.00,338000.00,405000.00,-157705000.00,-12887000.00,,,,,,,,,,,,,,,,,,,,
dividendsPaid,-32000000.00,-32000000.00,-32000000.00,-32000000.00,32000000.00,31692000.00,32000000.00,29184000.00,29115000.00,29069000.00,28980000.00,29030000.00,26975000.00,27032000.00,26291000.00,531145000.00,3448000.00,3926000.00,26481000.00,26480000.00,26694000.00,26265000.00,,,,199999000.00,550000000.00,,
changeToInventory,,75420000.00,,-67391000.00,,,,-84020000.00,,,,-60797000.00,,,,-14711000.00,,,,-2602000.00,,,,4944000.00,,,,,
changeToAccountReceivables,,,,-178258000.00,,,,-50214000.00,,,,-84050000.00,,,,55452000.00,,,13406000.00,61026000.00,,,13385000.00,56687000.00,,,,,
salePurchaseOfStock,,19958000.00,16322000.00,-1200000000.00,,,,0.00,0.00,,,38769000.00,,-4000.00,,-132000.00,,-128014000.00,-21854000.00,1828894000.00,,,,,,,,,
otherCashflowsFromFinancingActivities,92000000.00,139000000.00,653000000.00,251000000.00,173000000.00,182019000.00,298000000.00,303451000.00,1018917000.00,33471000.00,13599000.00,-15978000.00,1448679000.00,-10468000.00,1621946000.00,-3067000.00,1409608000.00,-41772000.00,-140000.00,-2607000.00,-853794000.00,-275000.00,-141000.00,-1174000.00,-9975000.00,409925000.00,933153000.00,650873000.00,
changeToNetincome,,104660000.00,220850000.00,,,,,,,,,,,,,,,,,,,,,,,,,,
capitalExpenditures,202000000,191000000,218000000,203000000,242000000,245734000,220000000,217464000,222217000,237391000,185850000,190717000,171353000,114075000,99401000,150274000,172292000,195839000,182595000,180646000,176511000,174729000,171203000,165475000,179514000,182361000,185997000,175099000,
changeReceivables,,-178258000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
cashFlowsOtherOperating,,-49914000.00,-207567000.00,,,,,,,,,,,,,,,,,,,,,,,,,,
exchangeRateChanges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cashAndCashEquivalentsChanges,,-42752000.00,-70028000.00,,,,,,,,,,,,,,,,,,,,,,,,,,
changeInWorkingCapital,-87000000.00,-63000000.00,-208000000.00,40000000.00,-27000000.00,11624000.00,-175000000.00,81294000.00,-19343000.00,64877000.00,-12855000.00,-12893000.00,-71648000.00,-67478000.00,-102398000.00,-36900000.00,16666000.00,-38179000.00,21413000.00,-88203000.00,-24931000.00,-16791000.00,63223000.00,-78598000.00,89606000.00,-55085000.00,86332000.00,-119109000.00,
stockBasedCompensation,16000000.00,12000000.00,16000000.00,17000000.00,17000000.00,16932000.00,16000000.00,15389000.00,16242000.00,13587000.00,16019000.00,21255000.00,26431000.00,24828000.00,23499000.00,20874000.00,18876000.00,22540000.00,23710000.00,22107000.00,17803000.00,45814000.00,49288000.00,2778000.00,3609000.00,2464000.00,2425000.00,1862000.00,
