,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-03-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,2018-06-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-03-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,
filing_date,2023-11-07,2023-08-08,2023-05-09,2023-03-15,2022-11-08,2022-08-09,2022-03-31,2022-03-17,2021-09-30,2021-06-30,2021-03-31,2021-03-18,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,,2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,
exchangeRateChanges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cashAndCashEquivalentsChanges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changeInWorkingCapital,224000.00,251000.00,33615000.00,-43282000.00,-4651000.00,16474000.00,-1551000.00,-9580000.00,-13845000.00,1488000.00,1657000.00,9899000.00,-2217000.00,-2273000.00,6953000.00,1002000.00,-1777000.00,-6268000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stockBasedCompensation,2508000.00,1118000.00,8318000.00,7541000.00,14565000.00,13818000.00,13398000.00,13464000.00,14798000.00,18267000.00,13951000.00,15416000.00,10988000.00,7391000.00,3790000.00,761000.00,216000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherNonCashItems,10843000.00,15371000.00,2876000.00,383000.00,41876000.00,-15379000.00,-25806000.00,-9922000.00,11205000.00,-6071000.00,-19915000.00,-22025000.00,-33276000.00,80312000.00,88000.00,-1371000.00,42000.00,156000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeCashFlow,-34678000.00,-38037000.00,-15787000.00,-52214000.00,1941000.00,-53819000.00,-35000000.00,-62164000.00,-60926000.00,-60858000.00,-55806000.00,-52468000.00,-45748000.00,-40744000.00,-32578000.00,-33849000.00,-32285000.00,-57595000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
researchDevelopment,28440000.00,31944000.00,39480000.00,48733000.00,41676000.00,48537000.00,48952000.00,42492000.00,36805000.00,39533000.00,39172000.00,48552000.00,32155000.00,25950000.00,35375000.00,30424000.00,30541000.00,21760000.00,,,,20300000.00,16200000.00,16900000.00,16300000.00,17300000.00,18400000.00,19000000.00,20500000.00,21700000.00,21800000.00,19500000.00,17500000.00,17600000.00,17700000.00,16800000.00,17100000.00,17300000.00,19000000.00,19000000.00,19800000.00,18400000.00,18200000.00,15200000.00,15900000.00,16500000.00,14300000.00,12400000.00,13000000.00,11000000.00,5600000.00,30300000.00,33300000.00,52600000.00,62600000.00,44800000.00,52000000.00,68600000.00,84600000.00,82100000.00,96100000.00,84000000.00,82700000.00,75200000.00,
effectOfAccountingCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incomeBeforeTax,-47893000.00,-53727000.00,-59688000.00,-20190000.00,-51319000.00,-65321000.00,-17831000.00,-56352000.00,-71404000.00,-72329000.00,-51420000.00,-55803000.00,-20331000.00,-126453000.00,-43376000.00,-35170000.00,-31073000.00,-23254000.00,-24829500.00,-122872000.00,-30840000.00,14600000.00,77700000.00,,5000000.00,6000000.00,,,,16300000.00,17900000.00,,,19400000.00,96100000.00,10800000.00,2500000.00,26300000.00,27700000.00,,12700000.00,37500000.00,39500000.00,15100000.00,16900000.00,4100000.00,,16200000.00,12300000.00,,,,,,,,,,,,163800000.00,65100000.00,1163100000.00,68400000.00,-61680000.00
minorityInterest,,,,,,,,,,,,,,,,,,,,,,700000.00,,500000.00,200000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
