,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31
filing_date,2023-11-06,2023-08-07,2023-05-05,2023-02-17,2022-11-04,2022-08-04,2022-05-06,2022-02-18,2021-11-02,2021-08-02,2021-05-07,2021-02-19,2020-11-04,2020-08-04,2020-05-08,2020-02-21,2019-11-06,2019-08-05,2019-05-03,2019-02-27,2018-11-07,2018-08-07,2018-05-04,2018-02-16,2017-11-07,2017-08-07,2017-05-05,2017-02-17,2016-11-07,2016-08-05,2016-05-06,2016-02-19,2015-11-06,2015-08-07,2015-05-08,2015-02-20,2014-11-07,2014-08-07,2014-05-09,2014-02-21,2013-11-12,2013-08-09,2013-05-08,2013-03-15,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
commonStock,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,17000000.00,17000000.00,17000000.00,16000000.00,16000000.00,16000000.00,16000000.00,16000000.00,16000000.00,16000000.00,16000000.00,16000000.00,3713000000.00,,,,,,,,
capitalStock,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,18000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarnings,933000000.00,1789000000.00,2393000000.00,4784000000.00,4953000000.00,3516000000.00,5103000000.00,3127000000.00,1600000000.00,740000000.00,2292000000.00,1055000000.00,3335000000.00,3130000000.00,5973000000.00,4717000000.00,3673000000.00,3384000000.00,4234000000.00,3368000000.00,6789000000.00,5495000000.00,4977000000.00,5459000000.00,6547000000.00,5951000000.00,5063000000.00,4378000000.00,4011000000.00,3349000000.00,2673000000.00,2248000000.00,1654000000.00,1256000000.00,739000000.00,535000000.00,2131000000.00,2299000000.00,1874000000.00,1567000000.00,1081000000.00,758000000.00,330000000.00,,,,,,,,,
otherLiab,,,,,31794000000.00,32767000000.00,30681000000.00,30982000000.00,32684000000.00,32443000000.00,30618000000.00,30401000000.00,27836000000.00,28053000000.00,18815000000.00,18476000000.00,16721000000.00,16741000000.00,14964000000.00,15557000000.00,16511000000.00,16576000000.00,15521000000.00,15605000000.00,8999000000.00,8518000000.00,8499000000.00,8352000000.00,7646000000.00,7791000000.00,3513000000.00,3695000000.00,3801000000.00,3918000000.00,3589000000.00,3210000000.00,2705000000.00,3040000000.00,3358000000.00,2965000000.00,3425000000.00,3221000000.00,2845000000.00,1879000000.00,1693251000.00,1364758000.00,1395835000.00,1499775000.00,,,,1670458000.00
goodWill,32091000000.00,32224000000.00,32220000000.00,32156000000.00,31726000000.00,32028000000.00,32298000000.00,32379000000.00,32296000000.00,32398000000.00,32349000000.00,33124000000.00,42801000000.00,42669000000.00,15561000000.00,15604000000.00,15537000000.00,15642000000.00,15606000000.00,15663000000.00,15718000000.00,15692000000.00,15880000000.00,15785000000.00,15748000000.00,15652000000.00,15490000000.00,15416000000.00,15657000000.00,15507000000.00,13274000000.00,13168000000.00,13243000000.00,13209000000.00,5534000000.00,5862000000.00,6002000000.00,6244000000.00,6271000000.00,6277000000.00,6199000000.00,6120000000.00,6060000000.00,6130000000.00,6092202000.00,5973558000.00,6164149000.00,6099652000.00,,,,6197182000.00
otherAssets,,,,,5382000000.00,5033000000.00,5083000000.00,4081000000.00,4679000000.00,4738000000.00,4718000000.00,5144000000.00,4182000000.00,3853000000.00,2505000000.00,1913000000.00,1276000000.00,1185000000.00,1162000000.00,1208000000.00,943000000.00,909000000.00,46070000000.00,46760000000.00,47213000000.00,47375000000.00,47505000000.00,47308000000.00,47698000000.00,47802000000.00,34501000000.00,34171000000.00,34374000000.00,34461000000.00,8860000000.00,8974000000.00,8467000000.00,8864000000.00,8995000000.00,9052000000.00,9465000000.00,10035000000.00,10046000000.00,9407000000.00,9660342000.00,9624573000.00,10041933000.00,10158811000.00,,,,10558649000.00
cash,13287000000.00,8759000000.00,6711000000.00,9201000000.00,11832000000.00,8521000000.00,6098000000.00,9746000000.00,12182000000.00,8546000000.00,9755000000.00,8449000000.00,7890000000.00,6017000000.00,41142000000.00,39924000000.00,10648000000.00,5172000000.00,4897000000.00,7289000000.00,8015000000.00,3547000000.00,9007000000.00,9303000000.00,8446000000.00,6088000000.00,4740000000.00,5100000000.00,6218000000.00,6327000000.00,7556000000.00,8399000000.00,9223000000.00,7400000000.00,7906000000.00,8348000000.00,7719000000.00,9086000000.00,8140000000.00,9595000000.00,8975000000.00,8743000000.00,6979000000.00,5901000000.00,2760988000.00,74537000.00,40999000.00,27482000.00,,,,9644000.00
cashAndEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalCurrentLiabilities,34773000000.00,32239000000.00,27590000000.00,29538000000.00,32712000000.00,34473000000.00,32521000000.00,35194000000.00,28533000000.00,28684000000.00,31951000000.00,28661000000.00,24181000000.00,24646000000.00,16471000000.00,15585000000.00,17493000000.00,16941000000.00,13904000000.00,17239000000.00,15387000000.00,17224000000.00,17058000000.00,16641000000.00,13033000000.00,12259000000.00,8844000000.00,9781000000.00,9103000000.00,9272000000.00,10662000000.00,10894000000.00,8813000000.00,11258000000.00,11050000000.00,11400000000.00,6635000000.00,6317000000.00,6216000000.00,6879000000.00,6875000000.00,6805000000.00,6766000000.00,6776000000.00,5367892000.00,4839721000.00,5514959000.00,5896678000.00,,,,3761248000.00
currentDeferredRevenue,,,,,1972000000.00,2255000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
