,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
filing_date,2023-09-30,2023-08-14,2023-05-15,2023-03-27,2022-11-02,2022-08-11,2022-05-13,2022-03-31,2021-11-15,2021-08-16,2021-05-17,2021-03-03,2020-11-06,2020-08-14,2020-05-11,2020-02-28,2019-11-06,2019-08-07,2019-05-08,2019-02-27,2018-11-07,2018-08-09,2018-05-08,2018-03-01,2017-11-07,2017-08-08,2017-05-09,2017-03-01,2016-11-07,2016-08-08,2016-05-09,2016-02-29,2015-11-09,2015-08-10,2015-05-07,2015-03-02,2014-11-05,2014-07-22,2014-04-29,2014-02-20,2013-10-22,2013-07-23,2013-05-09,2013-02-07
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
depreciationAndAmortization,249000.00,163000.00,158000.00,94000.00,117000.00,116000.00,113000.00,106000.00,107000.00,119000.00,116000.00,-211000.00,156000.00,195000.00,290000.00,226000.00,217000.00,142000.00,152000.00,111000.00,111000.00,105000.00,109000.00,-287000.00,-285000.00,-258000.00,-256000.00,,2050000.00,,,3080000.00,2050000.00,-13347000.00,998000.00,-8172000.00,313000.00,103000.00,48000.00,21000.00,4000.00,654000.00,42000.00,
nonOperatingIncomeNetOther,,390000.00,572000.00,,,,,,,4840000.00,8156000.00,12104000.00,70000.00,-5262000.00,-353000.00,1306000.00,-765000.00,5084000.00,1125000.00,-3133000.00,1000000.00,893000.00,-2653000.00,287000.00,285000.00,258000.00,256000.00,1039000.00,,55000.00,,,,,,1612000.00,1586000.00,2101000.00,108000.00,325000.00,169000.00,193000.00,,
operatingIncome,-13442000.00,-3814000.00,-1714000.00,-3034000.00,-3405000.00,-4125000.00,-3384000.00,81668000.00,-5188000.00,-2921000.00,-6183000.00,-6039000.00,-3682000.00,-3226000.00,-3221000.00,-2680000.00,-1873000.00,-2576000.00,-1896000.00,-1091000.00,-2138000.00,-1918000.00,-1461000.00,-1847000.00,-2283000.00,-1700000.00,-1517000.00,-1999000.00,-930000.00,-443000.00,-951000.00,-74606000.00,-7412000.00,14029000.00,19455000.00,61038000.00,54641000.00,85665000.00,55107000.00,24327000.00,10983000.00,3535000.00,-1824000.00,0.00
otherOperatingExpenses,,3883000.00,3687000.00,-7621191.00,4191.00,4341000.00,3276000.00,3745000.00,5188000.00,2921000.00,6183000.00,6039000.00,3682000.00,7523000.00,7173000.00,6807000.00,5707000.00,6474000.00,5799000.00,5115000.00,6072000.00,5834000.00,5513000.00,5924000.00,6712000.00,6343000.00,6528000.00,6414000.00,6032000.00,6097000.00,5771000.00,83233000.00,51741000.00,49253000.00,57977000.00,49878000.00,42762000.00,13452000.00,7976000.00,10669000.00,5981000.00,4695000.00,3297000.00,0.00
interestExpense,768000.00,872000.00,1082000.00,893000.00,435000.00,,309000.00,87961000.00,0.00,24000.00,36000.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14194000.00,0.00,0.00,14217000.00,14194000.00,13237000.00,11483000.00,11295000.00,11699000.00,6945000.00,5708000.00,3405000.00,467000.00,654000.00,42000.00,0.00
taxProvision,28000.00,16000.00,35000.00,192000.00,146000.00,7000.00,5000.00,2098000.00,-786000.00,-333000.00,2294000.00,1860000.00,-523000.00,-653000.00,183000.00,165000.00,885000.00,-781000.00,69000.00,,,,,,,,,,,,,,,,,,,,,,,,,
interestIncome,1135000.00,1610000.00,2036000.00,2316000.00,1739000.00,524000.00,0.00,0.00,0.00,24000.00,,,,,390000.00,1267000.00,828000.00,5035000.00,1121000.00,,,,,,,,,,,,,,,,,,,,,,,,,
netInterestIncome,367000.00,738000.00,954000.00,1423000.00,1304000.00,524000.00,0.00,0.00,0.00,-24000.00,-36000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extraordinaryItems,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nonRecurring,,1808000.00,1523000.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,-0.01,352000.00,1883000.00,1943000.00,-1716000.00,684000.00,2173000.00,0.00,0.00,0.00,74048000.00,14194000.00,13237000.00,26174000.00,27541000.00,17241000.00,6945000.00,5708000.00,3405000.00,467000.00,654000.00,42000.00,0.00
