,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-09-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,
filing_date,2023-11-13,2023-08-14,2023-04-05,2023-03-31,2022-11-10,2022-08-04,2022-05-16,2022-03-28,2021-11-15,2021-08-23,2021-03-31,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,
stockBasedCompensation,,,,,,,,,,,,
otherNonCashItems,-1069340.00,-4007089.00,-1716279.00,,-1673136.00,-385520.00,-156923.00,-35853.00,-1195955.00,,,
freeCashFlow,-353000.00,-1822794.00,-990672.00,-2384526.00,-232472.00,-366743.00,-1027111.00,-458415.00,-1687746.00,0.00,0.00,
researchDevelopment,,,,,,,,,,,,
effectOfAccountingCharges,,,,,,,,,,,,
incomeBeforeTax,495383.00,3302692.00,1065754.00,-219377.00,1197899.00,-155547.00,-1129584.00,-838513.00,-491791.00,,,
minorityInterest,,,,,,,,,,,,
sellingGeneralAdministrative,569734.00,700174.00,646302.00,2470458.00,472400.00,537649.00,1286507.00,874366.00,522759.00,,,
sellingAndMarketingExpenses,,,,,,,,,,,,
grossProfit,,,,,,,,,,,,
reconciledDepreciation,,,,,,,,,,,,
ebit,,1642488.00,-211736.00,,-472400.00,-923169.00,-1443430.00,-910219.00,-522759.00,,,-465.00
ebitda,495383.00,-700174.00,1069977.00,1069977.00,1200736.00,-537649.00,-1286507.00,-874366.00,-553727.00,,,
depreciationAndAmortization,,-2342662.00,1281713.00,,1673136.00,385520.00,156923.00,35853.00,-30968.00,,,
nonOperatingIncomeNetOther,,4007089.00,1716279.00,,1673136.00,385520.00,156923.00,,,,,
operatingIncome,495383.00,1642488.00,-211736.00,-646302.00,-472400.00,-923169.00,-1443430.00,-874366.00,-522759.00,,,
otherOperatingExpenses,569734.00,700174.00,646302.00,2470458.00,472400.00,537649.00,1286507.00,874366.00,522759.00,,,
interestExpense,-4223.00,4223.00,4223.00,7641.00,2837.00,3418.00,156923.00,35853.00,,,,
taxProvision,213175.00,830102.00,999614.00,594453.00,179000.00,,,,,,,
interestIncome,1069340.00,,4864292.00,,1673136.00,,156923.00,,,,,
netInterestIncome,1065117.00,-4223.00,4860069.00,-2219802.00,1670299.00,-3418.00,156923.00,,,,,
extraordinaryItems,,,,,,,,,,,,
nonRecurring,,,,,,,,,,,,
otherItems,,,,,,,,,,,,
incomeTaxExpense,-213175.00,830102.00,594453.00,594453.00,179000.00,-385520.00,-156923.00,-35853.00,,,,
totalRevenue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
totalOperatingExpenses,569734.00,700174.00,646302.00,2470458.00,472400.00,537649.00,1286507.00,874366.00,522759.00,,,
costOfRevenue,,,,,,,,,,,,
totalOtherIncomeExpenseNet,,4007089.00,1277490.00,,1670299.00,767622.00,313846.00,35853.00,30968.00,,,
discontinuedOperations,,,,,,,,,,,,
netIncomeFromContinuingOps,282208.00,2472590.00,471301.00,471301.00,1018899.00,-155547.00,-1129584.00,-838513.00,-491791.00,,,
netIncomeApplicableToCommonShares,,2472590.00,471301.00,,1018899.00,-155547.00,-1129584.00,-838513.00,-491791.00,-491791.00,-491791.00,-465.00
preferredStockAndOtherAdjustments,,,,,,,,,,,,
