,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-03-31,2020-06-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-03-31,
filing_date,2023-11-09,2023-08-14,2023-05-11,2023-03-15,2022-11-10,2022-08-10,2022-05-12,2022-03-14,2021-11-12,2021-08-16,2021-05-24,2021-03-08,2020-12-07,,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,
beginPeriodCashFlow,414800000.00,306400000.00,72300000.00,115400000.00,657700000.00,707100000.00,746900000.00,796200000.00,5900000.00,23500000.00,36600000.00,41100000.00,,,
endPeriodCashFlow,468700000.00,414800000.00,306400000.00,72300000.00,115400000.00,657700000.00,707100000.00,746900000.00,796200000.00,5900000.00,23500000.00,36600000.00,41100000.00,,
totalCashFromOperatingActivities,-66800000.00,-57100000.00,-63700000.00,-67200000.00,-50800000.00,-45600000.00,-36800000.00,-48900000.00,-30700000.00,-16800000.00,-12000000.00,-7600000.00,-7720000.00,-3208000.00,-4272000.00
issuanceOfCapitalStock,145000000.00,,,0.00,,,,0.00,,,,,,,
depreciation,2100000.00,1100000.00,1000000.00,1700000.00,1400000.00,700000.00,600000.00,500000.00,400000.00,200000.00,200000.00,100000.00,61000.00,8000.00,31000.00
otherCashflowsFromInvestingActivities,,,,,,,,,,,,,,,
dividendsPaid,,,,,,,,,,,,,,,
changeToInventory,,,,,,,,,,,,,,,
changeToAccountReceivables,,,,,,,,,,,,,,,
salePurchaseOfStock,,4130912000000.00,,,,,,,,,,,,,
otherCashflowsFromFinancingActivities,-6000000.00,-4130886900000.00,-2300000.00,-400000.00,100000.00,200000.00,100000.00,6600000.00,815100000.00,-800000.00,-1100000.00,-1500000.00,80000.00,-80000.00,-80000.00
changeToNetincome,,,,,32200000.00,20100000.00,20000000.00,10400000.00,148055000.00,385000.00,79460000.00,,41000.00,125000.00,134000.00
capitalExpenditures,15800000,8100000,11400000,3300000,1500000,1500000,600000,500000,1100000,800000,1100000,1500000,85000,251000,64000
changeReceivables,,,,,,,,,,,,,,,
cashFlowsOtherOperating,,,,,,,,,,,,,,,
exchangeRateChanges,,,,,,,,,,,,,,,
cashAndCashEquivalentsChanges,,,,,,,,,,,,,,,
changeInWorkingCapital,-7600000.00,13800000.00,12000000.00,5900000.00,6500000.00,5200000.00,1600000.00,-16600000.00,-2600000.00,15500000.00,3300000.00,800000.00,,,
stockBasedCompensation,-27400000.00,26500000.00,25700000.00,26500000.00,26200000.00,25600000.00,24500000.00,18900000.00,102800000.00,1000000.00,900000.00,200000.00,,,
otherNonCashItems,3100000.00,74400000.00,10700000.00,-5900000.00,6100000.00,-5400000.00,-4300000.00,800000.00,500000.00,300000.00,300000.00,0.00,,,
freeCashFlow,-82600000.00,-65200000.00,-75100000.00,-70500000.00,-52300000.00,-47100000.00,-37400000.00,-49400000.00,-31800000.00,-17600000.00,-13100000.00,-9100000.00,,,
researchDevelopment,67800000.00,63300000.00,65800000.00,59200000.00,47000000.00,37800000.00,27500000.00,19700000.00,23100000.00,11448000.00,10100000.00,7500000.00,6700000.00,,
effectOfAccountingCharges,,,,,,,,,,,,,,,
incomeBeforeTax,-51500000.00,-183900000.00,-113100000.00,-95400000.00,-91000000.00,-71700000.00,-59200000.00,-43300000.00,-176700000.00,-32945000.00,-94900000.00,-8700000.00,-7300000.00,,
minorityInterest,,,,,,,,,,,,,,,
sellingGeneralAdministrative,21600000.00,118100000.00,44100000.00,44100000.00,40800000.00,42400000.00,37800000.00,33600000.00,114100000.00,22409000.00,6600000.00,1200000.00,600000.00,,
sellingAndMarketingExpenses,,,,,,,,,,,,,,,
grossProfit,,,,10800000.00,,,,,,-3764636.00,,,,,
reconciledDepreciation,2100000.00,1100000.00,1000000.00,2400000.00,1400000.00,700000.00,600000.00,500000.00,400000.00,200000.00,200000.00,100000.00,,,
ebit,-46200000.00,-181400000.00,-112000000.00,-108100000.00,-93800000.00,-80200000.00,-65300000.00,-42800000.00,-137100000.00,-34969000.00,-16700000.00,-8700000.00,-7300000.00,-3886000.00,-4774000.00
ebitda,-44100000.00,-180300000.00,-106800000.00,-96800000.00,-80400000.00,-79500000.00,-58200000.00,-42300000.00,-136700000.00,-34769000.00,-16500000.00,-8600000.00,-7300000.00,,
depreciationAndAmortization,2100000.00,1100000.00,5200000.00,11300000.00,13400000.00,700000.00,7100000.00,500000.00,400000.00,200000.00,200000.00,100000.00,,,
nonOperatingIncomeNetOther,,,,,,,,,,,,,,,
operatingIncome,-46200000.00,-181400000.00,-112000000.00,-108100000.00,-93800000.00,-80200000.00,-65300000.00,-53300000.00,-176300000.00,-33857000.00,-94900000.00,-8700000.00,-7300000.00,,
otherOperatingExpenses,46200000.00,181400000.00,109900000.00,103300000.00,87800000.00,80200000.00,65300000.00,53300000.00,137200000.00,33857000.00,16700000.00,8700000.00,7300000.00,78208000.00,78208000.00
interestExpense,,,1600000.00,800000.00,1500000.00,8500000.00,400000.00,500000.00,500000.00,900000.00,0.00,0.00,0.00,,
taxProvision,100000.00,200000.00,,,,,,,,0.00,,,,,
interestIncome,,4100000.00,,,,500000.00,,,,0.00,,,,,
netInterestIncome,5100000.00,4100000.00,1600000.00,700000.00,1500000.00,500000.00,-400000.00,-500000.00,-500000.00,3000.00,0.00,0.00,0.00,,
extraordinaryItems,,,,,,,,,,,,,,,
nonRecurring,,,,,,,,,,,,,,,
otherItems,,,,,,,,,,,,,,,
incomeTaxExpense,100000.00,200000.00,-500000.00,800000.00,-2800000.00,-8500000.00,-6100000.00,-10000000.00,-400000.00,-1800000.00,78200000.00,,,,
totalRevenue,0.00,0.00,0.00,10800000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
totalOperatingExpenses,46200000.00,181400000.00,109900000.00,103300000.00,87800000.00,80200000.00,65300000.00,53300000.00,137200000.00,33857000.00,16700000.00,8700000.00,7300000.00,,
costOfRevenue,,,,,,,,,,3764636.00,,,,,
totalOtherIncomeExpenseNet,-10400000.00,-6600000.00,-1100000.00,12700000.00,2800000.00,8500000.00,6100000.00,10500000.00,-39000000.00,909000.00,-78200000.00,,,,
discontinuedOperations,,,,,,,,,,,,,,,
netIncomeFromContinuingOps,-51600000.00,-184100000.00,-113100000.00,-95400000.00,-91000000.00,-71700000.00,-59200000.00,-43300000.00,-176700000.00,-32945000.00,-94900000.00,-8700000.00,-7300000.00,,
netIncomeApplicableToCommonShares,,,,,-91000000.00,-71700000.00,-59200000.00,-43300000.00,-176700000.00,-32945000.00,-94853000.00,,-7300000.00,-3987000.00,-4902000.00
preferredStockAndOtherAdjustments,,,,,,,,,,,,,,,
