,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30,2021-08-31,2021-05-31,2021-02-28,2020-11-30,2020-08-31,2020-05-31,2020-02-29,2019-11-30,2019-08-31,2019-05-31,2019-02-28,2018-11-30,2018-08-31,2018-05-31,2018-02-28,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31
date,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30,2021-08-31,2021-05-31,2021-02-28,2020-11-30,2020-08-31,2020-05-31,2020-02-29,2019-11-30,2019-08-31,2019-05-31,2019-02-28,2018-11-30,2018-08-31,2018-05-31,2018-02-28,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31
filing_date,2023-10-17,2023-07-25,2023-04-25,2023-01-10,2022-10-19,2022-07-27,2022-04-26,2022-01-12,2021-10-20,2021-07-29,2021-04-28,2021-01-13,2020-10-21,2020-08-04,2020-05-13,2020-01-08,2019-10-16,2019-07-24,2019-04-24,2019-01-15,2018-10-18,2018-07-25,2018-05-11,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
otherStockholderEquity,1785400000.00,1720500000.00,1674800000.00,584900000.00,925800000.00,391000000.00,-893700000.00,-1560000000.00,-1570000000.00,-1595000000.00,-1607200000.00,-1605800000.00,-1429100000.00,-1467800000.00,1798500000.00,1797700000.00,1792900000.00,1787300000.00,1788400000.00,1762900000.00,1780900000.00,1772400000.00,1773300000.00,,1750300000.00,1991000000.00,1999300000.00,1980300000.00,1961800000.00,1963300000.00,1967900000.00,1951800000.00,1938000000.00,1904200000.00,1848700000.00,,,
propertyPlantEquipment,15387000000.00,15238000000.00,15237800000.00,9092900000.00,9078600000.00,14978300000.00,15258000000.00,15172200000.00,15062400000.00,15152400000.00,15428300000.00,14829300000.00,14879200000.00,14875500000.00,15079300000.00,15058100000.00,15063100000.00,14943500000.00,9861300000.00,,,,,,,,,,,,,,,,,,,
totalCurrentAssets,6421600000.00,6060600000.00,6270400000.00,10685700000.00,9264600000.00,8678200000.00,8366400000.00,8379700000.00,7988300000.00,7377500000.00,6988000000.00,7444200000.00,7578600000.00,7132800000.00,5731300000.00,5979600000.00,5630600000.00,5906800000.00,6250000000.00,6112600000.00,6845700000.00,6488900000.00,6148600000.00,,5923200000.00,6427600000.00,6793200000.00,6478200000.00,6369400000.00,6867800000.00,6113300000.00,6466500000.00,6124300000.00,6368500000.00,7104700000.00,,,
longTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netTangibleAssets,,3789700000.00,3376200000.00,3223900000.00,6887000000.00,560000000.00,6237000000.00,-1129800000.00,-1421600000.00,-1651200000.00,-1967800000.00,-1885000000.00,-1759500000.00,-2073900000.00,-992400000.00,-896600000.00,-1015700000.00,-1400100000.00,,,,,,,,,,,,,,,,,,,,
shortTermInvestments,18200000.00,19000000.00,21400000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netReceivables,710100000.00,684300000.00,687600000.00,704800000.00,651700000.00,565300000.00,560600000.00,607400000.00,544700000.00,618700000.00,550900000.00,549500000.00,547100000.00,530000000.00,525300000.00,501200000.00,518600000.00,497400000.00,586200000.00,566900000.00,527900000.00,551300000.00,615300000.00,,608800000.00,599000000.00,631000000.00,614400000.00,648100000.00,620600000.00,647800000.00,666800000.00,645000000.00,644300000.00,631900000.00,,,
longTermDebt,7810800000.00,7825000000.00,7834400000.00,7091700000.00,7106800000.00,7121200000.00,7136300000.00,7915700000.00,8129100000.00,8145800000.00,8101200000.00,8328000000.00,7827400000.00,7831800000.00,8493300000.00,8014700000.00,7994500000.00,9030000000.00,9772600000.00,,,,,,,,,,,,,,,,,,,
inventory,5048300000.00,4844900000.00,4782000000.00,5054900000.00,4746400000.00,4573200000.00,4500800000.00,4671000000.00,4179100000.00,4271900000.00,4301300000.00,4638000000.00,4267100000.00,4271600000.00,4352500000.00,4624200000.00,4340300000.00,4385400000.00,4332800000.00,4639500000.00,4308100000.00,4323200000.00,4421100000.00,,4420600000.00,4436700000.00,4464000000.00,4666400000.00,4434600000.00,4419300000.00,4421800000.00,4682700000.00,4252100000.00,4185100000.00,4156600000.00,,,
accountsPayable,4149700000.00,4013200000.00,4173100000.00,3977700000.00,4017800000.00,3970300000.00,4236800000.00,4066100000.00,3554200000.00,3386300000.00,3487300000.00,3395000000.00,3389800000.00,3399800000.00,2891100000.00,3183200000.00,2946600000.00,3077900000.00,2918700000.00,3119200000.00,2948200000.00,3091400000.00,2833000000.00,,3010400000.00,3156600000.00,3034700000.00,2883100000.00,2808100000.00,2882400000.00,2779900000.00,2888100000.00,2718300000.00,2787700000.00,2763500000.00,,,
totalPermanentEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noncontrollingInterestInConsolidatedEntity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temporaryEquityRedeemableNoncontrollingInterests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accumulatedOtherComprehensiveIncome,68900000.00,70400000.00,69300000.00,66100000.00,66100000.00,66200000.00,69000000.00,78600000.00,78700000.00,63600000.00,63500000.00,-105900000.00,-106400000.00,-116800000.00,-118500000.00,85600000.00,80100000.00,89400000.00,91300000.00,192100000.00,192200000.00,197000000.00,191100000.00,,21300000.00,15100000.00,-12800000.00,-122300000.00,-132900000.00,-134500000.00,-112700000.00,41400000.00,42200000.00,52900000.00,59600000.00,,,
additionalPaidInCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commonStockTotalEquity,,5900000.00,5900000.00,5900000.00,5900000.00,5900000.00,5900000.00,5900000.00,5000000.00,5900000.00,5900000.00,5900000.00,5800000.00,5800000.00,5800000.00,2800000.00,2800000.00,2800000.00,2800000.00,2800000.00,2800000.00,2800000.00,2800000.00,,,,,,,,,,,,,,,
preferredStockTotalEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarningsTotalEquity,,159600000.00,-185000000.00,-417200000.00,3239900000.00,2972100000.00,2564900000.00,2187100000.00,1846200000.00,1624800000.00,1263000000.00,1481400000.00,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryStock,,,,,,,-1647400000.00,-1907000000.00,-1907000000.00,-1907000000.00,-1907000000.00,-1890500000.00,-1705800000.00,-1705800000.00,-25800000.00,-25800000.00,-25800000.00,-25800000.00,-25800000.00,,,,,,,,,,,,,,,,,,,
accumulatedAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonCurrrentAssetsOther,852200000.00,844400000.00,139600000.00,80000000.00,977500000.00,246000000.00,1012600000.00,943700000.00,912100000.00,902400000.00,889600000.00,786100000.00,750700000.00,710700000.00,654000000.00,646700000.00,643600000.00,676400000.00,647500000.00,649200000.00,562000000.00,555000000.00,567600000.00,,846200000.00,861200000.00,784400000.00,790300000.00,918100000.00,891600000.00,796900000.00,947000000.00,1116400000.00,1093200000.00,1369300000.00,,,
deferredLongTermAssetCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonCurrentAssetsTotal,19900900000.00,19756600000.00,19897800000.00,19529000000.00,19489500000.00,19541800000.00,19756600000.00,19556400000.00,19356000000.00,19404400000.00,19610000000.00,18875100000.00,18891000000.00,18855000000.00,19003800000.00,19012000000.00,19067900000.00,19074400000.00,14526600000.00,14869100000.00,14971100000.00,15331300000.00,15663700000.00,,16411300000.00,16755600000.00,16961800000.00,16973300000.00,17404500000.00,17559100000.00,17656700000.00,17888300000.00,17883200000.00,18100900000.00,18657100000.00,,,
capitalLeaseObligations,6211800000.00,6132400000.00,6051000000.00,6094700000.00,6107800000.00,6144200000.00,6060500000.00,6136000000.00,6085800000.00,6075400000.00,6153300000.00,5941400000.00,5962800000.00,5966000000.00,5965900000.00,5980200000.00,6700900000.00,5421200000.00,,,,,,,,,,,,,,,,,,,,
