,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31
filing_date,2023-10-27,2023-07-28,2023-04-28,2023-02-10,2022-10-28,2022-07-29,2022-04-29,2022-02-11,2021-10-29,2021-07-30,2021-04-30,2021-02-16,2020-10-30,2020-07-31,2020-05-01,2020-02-14,2019-11-01,2019-08-02,2019-05-03,2019-02-15,2018-11-02,2018-08-03,2018-05-04,2018-02-16,2017-11-03,2017-08-04,2017-05-05,2017-02-17,2016-11-04,2016-07-29,2016-04-29,2016-02-19,2015-11-06,2015-07-31,2015-05-01,2015-02-20,2014-11-07,2014-08-01,2014-05-02,2014-02-21,2013-11-08,2013-08-02,2013-05-03,2013-02-22,2012-11-09,2012-08-03,2012-05-04,2012-03-09,2011-11-10,2011-08-12,2011-05-13,2011-03-30,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
temporaryEquityRedeemableNoncontrollingInterests,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,679156000.00,685729000.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
accumulatedOtherComprehensiveIncome,12051000.00,11524000.00,8165000.00,10624000.00,12554000.00,9457000.00,7063000.00,2872000.00,2248000.00,2122000.00,1964000.00,1753000.00,1034000.00,352000.00,603000.00,5680000.00,5162000.00,5876000.00,8825000.00,10620000.00,13915000.00,13734000.00,13324000.00,11451000.00,10350000.00,10494000.00,11034000.00,11798000.00,-8583000.00,-10281000.00,-3143000.00,-258000.00,-1030000.00,-339000.00,-618000.00,92000.00,624000.00,-1093000.00,-521000.00,0.00,0.00,0.00,679156000.00,685729000.00,-267840000.00,-255485000.00,-245717000.00,-234595000.00,-223624000.00,-240603000.00,-230377000.00,-221997000.00,-214467000.00,-206726000.00,,-194124000.00,,
additionalPaidInCapital,,,,,,,,,,,,,,,,,,,,,,919598000.00,919793000.00,919066000.00,917334000.00,916695000.00,905304000.00,874597000.00,874859000.00,864675000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,679156000.00,685729000.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
commonStockTotalEquity,,607000.00,607000.00,607000.00,605000.00,605000.00,605000.00,605000.00,605000.00,605000.00,605000.00,605000.00,603000.00,601000.00,601000.00,601000.00,599000.00,597000.00,475000.00,474000.00,473000.00,473000.00,473000.00,473000.00,471000.00,471000.00,464000.00,457000.00,456000.00,454000.00,454000.00,454000.00,454000.00,449000.00,438000.00,437000.00,436000.00,426000.00,419000.00,405000.00,405000.00,405000.00,397000.00,397000.00,393000.00,393000.00,393000.00,393000.00,393000.00,393000.00,393000.00,,,,,,,
preferredStockTotalEquity,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,679156000.00,685729000.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
retainedEarningsTotalEquity,,-262745000.00,-254879000.00,-251167000.00,-241549000.00,-235107000.00,-226474000.00,-217785000.00,-207910000.00,-199956000.00,-192098000.00,-176560000.00,-164462000.00,-154516000.00,-150226000.00,-144378000.00,-139307000.00,-135497000.00,-130841000.00,-128778000.00,-122293000.00,-120008000.00,-110550000.00,-97280000.00,-91695000.00,-88595000.00,-81921000.00,-77296000.00,-74328000.00,-71433000.00,-67724000.00,-64066000.00,-60976000.00,-64024000.00,-62409000.00,-60291000.00,-57269000.00,-54186000.00,-48619000.00,-44090000.00,-40007000.00,-35868000.00,-30584000.00,-25625000.00,-46004000.00,-40699000.00,-34269000.00,-28007000.00,-20233000.00,-15168000.00,,,,,,,,
treasuryStock,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-679156000.00,-685729000.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
accumulatedAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonCurrrentAssetsOther,2741832000.00,2747542000.00,2750350000.00,2755115000.00,2757824000.00,2757957000.00,2747342000.00,2691712000.00,2771275000.00,2578401000.00,2567474000.00,2574906000.00,2575585000.00,2584185000.00,2588865000.00,2587164000.00,2570263000.00,2567968000.00,2098577000.00,2093100000.00,2092249000.00,2088366000.00,2109542000.00,2127632000.00,2130744000.00,2094259000.00,1878654000.00,1892592000.00,1876903000.00,1878528000.00,1881602000.00,1882259000.00,1884156000.00,1882259000.00,1853849000.00,1821013000.00,1780849000.00,1752567000.00,1735333000.00,1716378000.00,1704646000.00,1700314000.00,1703191000.00,1771247000.00,81806000.00,68649000.00,73649000.00,76285000.00,77121000.00,161515000.00,75957000.00,2233000.00,2314000.00,47643000.00,,2401000.00,,
deferredLongTermAssetCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
