,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31
liabilitiesAndStockholdersEquity,76616631.00,76932845.00,77474606.00,78050210.00,85821670.00,86115458.00,87232290.00,87232290.00,87444274.00,87736681.00,88395787.00,76448771.00,76889227.00,75020788.00,75723275.00,74063855.00,75302179.00,75488119.00,73042598.00,73928394.00,74384213.00,75353555.00,66485105.00,66803196.00,65633341.00,66048790.00,50755745.00,47513895.00,47660917.00,40829627.00,37364168.00,38215348.00,34947418.00,44751481.00,45598116.00,42018646.00,52444106.00,47707942.00,48987933.00,48987933.00,50116249.00,49513984.00,47020941.00,49132316.00,49912312.00,50040837.00,53905269.00,53905269.00,43528724.00,40013243.00,36356062.00,36343355.00,36420761.00,26492849.00,26660600.00,25659423.00,23577652.00,23866203.00,24402080.00,24402080.00,25581920.00,27713316.00,27588325.00,27969639.00,28925586.00,28625642.00,28772437.00,28719562.00,28181386.00,27741946.00,19464360.00,16366755.00,11797329.00,10050122.00,10212087.00,10215275.00,11238229.00,10695340.00,10591469.00,10341770.00,6834870.00,5300783.00,5635752.00,5635752.00,4782657.00,7103685.00,6853989.00,6297093.00,4445645.00,4567286.00,4672555.00,4780243.00,6523307.00,6508586.00,7019704.00,
cashAndShortTermInvestments,4671429.00,4918149.00,5728749.00,6658076.00,7268286.00,8090088.00,10170376.00,10170376.00,11365301.00,12381826.00,13941567.00,2534698.00,3447564.00,1746087.00,2473406.00,912214.00,1373536.00,1716610.00,3359899.00,5080580.00,8618603.00,12275735.00,12270897.00,16334534.00,17159599.00,19961069.00,11013669.00,9770006.00,12534143.00,7201331.00,4312500.00,6222778.00,4583410.00,9495620.00,11935955.00,9025721.00,11816637.00,9516935.00,13053434.00,13053434.00,15635527.00,16272227.00,15115063.00,18689216.00,20849037.00,22741348.00,29655326.00,29655326.00,20770135.00,20062287.00,18178729.00,19939715.00,21630130.00,14126548.00,14777804.00,13906150.00,11989781.00,12098237.00,12659843.00,12659843.00,14064203.00,15930251.00,16252854.00,17195719.00,18753988.00,18506303.00,18112609.00,20116097.00,19439355.00,20192087.00,11928858.00,9167978.00,4750219.00,3700663.00,4280158.00,4630460.00,5348062.00,5088910.00,5224728.00,5208200.00,2082011.00,1012865.00,1565041.00,1565041.00,1050801.00,1514113.00,1200150.00,750573.00,625156.00,705128.00,860940.00,1019637.00,1019928.00,1054694.00,1053803.00,
propertyPlantAndEquipmentGross,,,,,,,,,,74196696.00,73434589.00,72783284.00,72240969.00,72093972.00,72178178.00,71414558.00,71343919.00,70608313.00,69371157.00,68443398.00,65442908.00,62759961.00,47270578.00,45176490.00,43295468.00,41367540.00,38096851.00,36082608.00,33517719.00,31935284.00,31409661.00,30643748.00,30045587.00,29065239.00,29525129.00,29525129.00,30475022.00,27969335.00,25550219.00,25550219.00,22860508.00,21237427.00,20345139.00,17919924.00,16628767.00,14999618.00,13602166.00,11854882.00,9891454.00,8318487.00,5301870.00,5301870.00,12692184.00,10242510.00,842134.00,9430627.00,9356357.00,9451494.00,9651544.00,9249329.00,9272414.00,8921490.00,8425296.00,7893735.00,7737740.00,7554960.00,9526146.00,7651784.00,7465777.00,6700864.00,6501165.00,6344980.00,6412574.00,5751925.00,5259510.00,5015371.00,5189617.00,4865677.00,4791622.00,4672196.00,4324446.00,3781396.00,3767975.00,3578358.00,3158359.00,5122106.00,4967755.00,4902213.00,3556739.00,3405789.00,3354324.00,3226707.00,4591440.00,4420478.00,5173300.00,
propertyPlantAndEquipmentNet,70742651.00,70782224.00,70454365.00,70158266.00,77391027.00,76885678.00,75990281.00,75990281.00,74948564.00,74196696.00,73434589.00,72783284.00,72240969.00,72093972.00,72178178.00,71414558.00,71343919.00,70608313.00,69371157.00,68443398.00,65442908.00,62759961.00,47270578.00,45176490.00,43295468.00,41367540.00,38096851.00,36082608.00,33517719.00,31935284.00,31409661.00,30643748.00,30045587.00,29065239.00,30851445.00,29525129.00,30475022.00,27969335.00,25550219.00,25550219.00,22860508.00,21237427.00,20345139.00,17919924.00,16628767.00,14999618.00,11854882.00,11854882.00,9891454.00,8318487.00,1028304.00,5301870.00,12692184.00,10242510.00,842134.00,9430627.00,9356357.00,9451494.00,9249329.00,9249329.00,9272414.00,8921490.00,8425296.00,7893735.00,7737740.00,7554960.00,9526146.00,7651784.00,7465777.00,6700864.00,6501165.00,6344980.00,6412574.00,5751925.00,5259510.00,5015371.00,5189617.00,4865677.00,4791622.00,4672196.00,4324446.00,3781396.00,3578358.00,3578358.00,3158359.00,5122106.00,4967755.00,4902213.00,3556739.00,3405789.00,3354324.00,3226707.00,4591440.00,4420478.00,5173300.00,
accumulatedDepreciation,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netWorkingCapital,5616511.00,5818032.00,6724884.00,7463140.00,8117917.00,8642068.00,9694626.00,10651264.00,11980447.00,12976386.00,14195422.00,3082986.00,4157789.00,2488164.00,2625769.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netInvestedCapital,72790992.00,72955542.00,73417587.00,73744692.00,82989474.00,82769737.00,82680265.00,83411682.00,85193995.00,85426550.00,85877983.00,74020190.00,74407030.00,72555284.00,72752927.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commonStockSharesOutstanding,137221408.00,137221408.00,137221408.00,137221408.00,137221408.00,137221408.00,40607000.00,40607000.00,137221408.00,137221408.00,123519656.00,123519656.00,119157675.00,117238135.00,112029447.00,112029447.00,111726719.00,111726719.00,111726719.00,111726719.00,111639625.00,104689295.00,102199625.00,102199625.00,100151694.00,93203469.00,88633408.00,88633408.00,85501341.00,79492551.00,78062984.00,78062984.00,72484511.00,72122686.00,71085654.00,71085654.00,67380495.00,64578321.00,64578321.00,64578321.00,61226848.00,60050288.00,59855377.00,59855377.00,64443883.00,59208035.00,59122321.00,59122321.00,57900136.00,57268649.00,55675411.00,55675411.00,51026631.00,49391176.00,49081056.00,49081056.00,45683082.00,59124100.00,45528421.00,45528421.00,44964925.00,44912038.00,44912038.00,44912038.00,44091618.00,44212311.00,43828967.00,43828967.00,43102283.00,36006711.00,37709634.00,37709634.00,28823500.00,23884550.00,32579600.00,35540700.00,36270500.00,25868800.00,32421800.00,32421800.00,26037300.00,22300800.00,27570900.00,27570900.00,19825682.00,14226450.00,14226450.00,14226450.00,11602200.00,8898300.00,14824250.00,14824250.00,13318889.00,13289347.00,12147833.00,
investments,12300.00,-352203.00,-318583.00,-232241.00,-548129.00,-539864.00,-408612.00,-582260.00,-775140.00,-753687.00,-684063.00,-568402.00,-163816.00,-224903.00,-800597.00,-1158563.00,-669475.00,-1095324.00,-828408.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33855.09,0.00,0.00,0.00,21241.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
changeToLiabilities,,,,,-263961.00,4421.00,-17614.00,78240.00,-25521.00,-211744.00,178377.00,79634.00,30254.00,-209831.00,16649.00,411012.00,27681.00,-52377.00,-207869.00,216862.44,-107249.38,101775.00,68697.00,-142296.53,-20166.28,-35423.83,-90743.63,-156129.63,0.00,0.00,0.00,28571.63,0.00,0.00,0.00,-477222.27,0.00,0.00,0.00,34198.44,0.00,0.00,0.00,499899.21,0.00,0.00,29269.28,0.00,289496.24,48785.55,37105.75,19057.17,906617.43,0.00,0.00,140684.41,0.00,9459.92,126883.43,1643.66,179426.96,301635.49,0.00,0.00,67574.38,0.00,0.00,156960.29,156852.20,6265.66,57348.28,91766.72,172784.32,121583.03,28942.36,24937.66,156881.39,131282.82,15270.67,0.00,50266.11,0.00,61984.88,0.00,0.00,13190.87,0.00,11306.53,0.00,0.00,0.00,32701.55,0.00,99576.13,0.00,67086.24
